Gene,TCGA-EL-A3ZG-01A-11R-A23N-07,TCGA-EL-A3ZG-11A-13R-A23N-07,TCGA-DJ-A3VL-01A-11R-A23N-07,TCGA-ET-A40S-01A-11R-A23N-07,TCGA-EL-A3ZN-01A-11R-A23N-07,TCGA-E8-A436-01A-12R-A23W-07,TCGA-FY-A40L-01A-11R-A23N-07,TCGA-EL-A3ZR-11A-11R-A23N-07,TCGA-EL-A3ZR-01A-11R-A23N-07,TCGA-EL-A3ZP-11A-11R-A23N-07,TCGA-EL-A3ZP-01A-11R-A23N-07,TCGA-EL-A3ZQ-01A-11R-A23N-07,TCGA-EL-A3ZQ-11A-11R-A23N-07,TCGA-EL-A3ZO-11A-12R-A23N-07,TCGA-EL-A3ZO-01A-11R-A23N-07,MAX,AVG,MED,MIN
JAK1,3659.233,1828.9638,3158.8398,2620.4812,2932.1429,4128.3293,3963.5417,2852.579,1964.7687,3963.2315,2910.8205,1989.6272,3107.6855,3044.3459,3118.8892,4128.3293,3016.23194666667,3044.3459,1828.9638
JAK2,180.5695,149.8127,221.4549,243.171,166.6667,291.2487,192.7083,316.1398,88.968,503.7279,269.1241,83.6305,292.153,319.66,178.457,503.7279,233.16614,221.4549,83.6305
KCNA10,0,0,0,0,0,1.3836,0,0,0,0,0,4.5381,0.2936,0,0,4.5381,0.414353333333333,0,0
KCTD16,1.852,131.7104,1.8416,4.1846,24.2063,27.3262,2.6042,118.802,0.3559,73.5369,7.1344,1.2966,112.4569,83.1486,1.3146,131.7104,39.4514133333333,7.1344,0.3559
KDR,1781.9276,553.6829,3818.14,3363.0129,2598.0159,751.2971,1237.6302,2281.5308,2747.331,1583.9036,1592.5486,397.4068,2063.8626,1650.037,488.7027,3818.14,1793.93531333333,1650.037,397.4068
KIT,72.5365,1806.4919,172.1915,261.7692,220.2381,496.0221,67.0573,3362.7288,86.8327,3095.9044,533.8882,29.8217,2134.038,2242.0547,40.7526,3362.7288,974.821846666667,261.7692,29.8217
KRT40,0,0,0,0,0,0,0,0.3328,0,0,0,0,0.2936,0.3695,0,0.3695,0.066393333333333,0,0
KRTAP19-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-3,0,0,0.4604,0,0,0,0,0,0,0,0,0,0,0,0,0.4604,0.030693333333333,0,0
LBP,0.3087,0.6242,0.4604,0.465,0,0.3459,0,1.3311,0,2.0427,0.7927,99.1896,3.5235,0,0.6573,99.1896,7.31607333333333,0.465,0
LBX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCE1C,0.926,0,0,0,0,0.3459,0.3255,0,0,0.4085,0.7927,0.6483,0,0,3.2865,3.2865,0.448893333333333,0,0
LGR5,0,1.8727,0,728.5831,1.5873,2.4213,9.4401,8.3195,3.2028,2.0427,23.7812,0,0.8809,2.2173,8.2163,728.5831,52.83768,2.2173,0
LIM2,0,0,0,0,0,0,0,0,0,0,0,3.2415,0,0,0,3.2415,0.2161,0,0
LIMK1,1254.4178,463.7953,1270.2578,3046.8441,1185.7143,1855.0675,1367.513,628.9517,1197.8648,818.3025,2651.6052,1045.0567,742.5677,596.0828,2189.1381,3046.8441,1354.21195333333,1197.8648,463.7953
LRRCC1,275.6386,441.3233,279.4659,260.8392,230.5556,295.0536,378.2552,756.406,352.669,619.3443,296.4725,125.1216,582.2506,642.2764,206.7209,756.406,382.82618,296.4725,125.1216
LRRTM3,0,0,0,16.2734,0,0,0,0.6656,0,1.2256,0.3964,0,0,0.3695,0,16.2734,1.26203333333333,0,0
LYRM2,1276.2374,1419.5443,1083.5037,1155.9549,924.9881,1013.2549,1041.4648,1252.3694,1133.694,1320.5352,958.256,1253.4263,1366.6681,1284.5898,846.55,1419.5443,1155.40246,1155.9549,846.55
M6PR,3723.5558,2727.7216,2846.5516,2694.9576,2322.2024,3711.7572,4133.2552,3264.9351,2958.9822,3166.0219,2576.3575,3165.4327,3459.4935,3089.7894,2778.9763,4133.2552,3107.99933333333,3089.7894,2322.2024
